OrgIndexId,GradYear,SchoolYear,StudentGroup,GradeLevel,DAT,CountExpected,CountMet,CountPrevPassed,PctMet_OSPI,PctMet,L1,L2,L3,L4,PctFoundational,CountFoundational,PctAltAssessment,DataAsOf,PctMet_Flag,PctMet_Delta
1687,2025,2014-15,All Students,3,ERR_None,61,54,61,88.5%,0.885246,0.0819672131147,0.0327868852459,0.2131147540983,0.6721311475409,,,,09/09/2022 12:00:00 AM,OK,-9.83607999494041E-08
1687,2025,2014-15,Homeless,3,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2025,2014-15,Low-Income,3,cross,,,,77.3%,0.772727,0.1818181818181,0.0454545454545,0.2272727272727,0.5454545454545,,,,09/09/2022 12:00:00 AM,OK,2.72727199934764E-07
1687,2024,2014-15,All Students,4,ERR_None,54,34,54,63.0%,0.62963,0.0740740740740,0.2777777777777,0.3333333333333,0.2962962962962,,,,09/09/2022 12:00:00 AM,OK,-3.70370499935824E-07
1687,2024,2014-15,Homeless,4,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2024,2014-15,Low-Income,4,ERR_None,19,10,19,52.6%,0.526316,0.1578947368421,0.3157894736842,0.3157894736842,0.2105263157894,,,,09/09/2022 12:00:00 AM,OK,-2.10526399979649E-07
1687,2023,2014-15,All Students,5,ERR_None,50,29,50,58.0%,0.58,0.1600000000000,0.2400000000000,0.2600000000000,0.3200000000000,,,,09/09/2022 12:00:00 AM,OK,1.11022302462516E-16
1687,2023,2014-15,Low-Income,5,ERR_None,14,6,14,42.9%,0.428571,0.2857142857142,0.2857142857142,0.3571428571428,0.0714285714285,,,,09/09/2022 12:00:00 AM,OK,4.28571300004066E-07
1687,,2014-15,All Students,99,ERR_None,165,117,165,70.9%,0.709091,0.1030303030303,0.1757575757575,0.2666666666666,0.4424242424242,,,,09/09/2022 12:00:00 AM,OK,-9.09092000567213E-08
1687,,2014-15,Homeless,99,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,,2014-15,Low-Income,99,ERR_None,55,33,55,60.0%,0.6,0.2000000000000,0.2000000000000,0.2909090909090,0.3090909090909,,,,09/09/2022 12:00:00 AM,OK,-1.00031094518727E-13
1687,2026,2015-16,All Students,3,ERR_None,57,45,57,78.9%,0.789474,0.0000000000000,0.1929824561403,0.2631578947368,0.5263157894736,,,,09/09/2022 12:00:00 AM,OK,-3.15789600024985E-07
1687,2026,2015-16,Homeless,3,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2026,2015-16,Low-Income,3,cross,,,,52.4%,0.52381,0.0000000000000,0.4285714285714,0.1428571428571,0.3809523809523,,,,09/09/2022 12:00:00 AM,OK,-4.76190599951742E-07
1687,2025,2015-16,All Students,4,ERR_None,60,47,60,78.3%,0.783333,0.0333333333333,0.1666666666666,0.3333333333333,0.4500000000000,,,,09/09/2022 12:00:00 AM,OK,3.33333300073235E-07
1687,2025,2015-16,Homeless,4,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2025,2015-16,Low-Income,4,ERR_None,25,16,25,64.0%,0.64,0.0800000000000,0.2400000000000,0.2800000000000,0.3600000000000,,,,09/09/2022 12:00:00 AM,OK,0
1687,2024,2015-16,All Students,5,ERR_None,58,40,58,69.0%,0.689655,0.1379310344827,0.1724137931034,0.2068965517241,0.4827586206896,,,,09/09/2022 12:00:00 AM,OK,1.72413699983665E-07
1687,2024,2015-16,Homeless,5,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2024,2015-16,Low-Income,5,ERR_None,17,8,17,47.1%,0.470588,0.2352941176470,0.2941176470588,0.0588235294117,0.4117647058823,,,,09/09/2022 12:00:00 AM,OK,2.35294000006103E-07
1687,,2015-16,All Students,99,ERR_None,175,132,175,75.4%,0.754286,0.0571428571428,0.1771428571428,0.2685714285714,0.4857142857142,,,,09/09/2022 12:00:00 AM,OK,-2.85714400027892E-07
1687,,2015-16,Homeless,99,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,,2015-16,Low-Income,99,ERR_None,63,35,63,55.6%,0.555556,0.0952380952380,0.3174603174603,0.1746031746031,0.3809523809523,,,,09/09/2022 12:00:00 AM,OK,-4.44444600122829E-07
1687,2027,2016-17,All Students,3,ERR_None,88,63,88,71.6%,0.715909,0.0909090909090,0.1931818181818,0.3068181818181,0.4090909090909,,,,09/09/2022 12:00:00 AM,OK,9.09089999945323E-08
1687,2027,2016-17,Homeless,3,Lt10orNo,,,,Suppressed: N<10,,,,,,,,,09/09/2022 12:00:00 AM,No L3L4,
1687,2027,2016-17,Low-Income,3,ERR_None,21,11,21,52.4%,0.52381,0.1904761904761,0.2857142857142,0.2857142857142,0.2380952380952,,,,09/09/2022 12:00:00 AM,OK,-4.76190599951742E-07
