OrgIndexId|GradYear|SchoolYear|StudentGroup|GradeLevel|DAT|CountExpected|CountMet|CountPrevPassed|PctMet_OSPI|PctMet|L1|L2|L3|L4|PctFoundational|CountFoundational|PctAltAssessment|DataAsOf|PctMet_Flag|PctMet_Delta
671|2027|2020-21|All Students|7|ERR_None|24|9|24|37.5%|0.375|0.3333333333333|0.2916666666666|0.1666666666666|0.2083333333333||||09/09/2022 12:00:00 AM|OK|-1.00031094518727E-13
671|2027|2020-21|Low-Income|7|cross||||25.0%|0.25|0.5833333333333|0.1666666666666|0.0833333333333|0.1666666666666||||09/09/2022 12:00:00 AM|OK|-1.00031094518727E-13
671|2027|2020-21|Migrant|7|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
671|2026|2020-21|All Students|8|ERR_None|38|18|38|47.4%|0.473684|0.2368421052631|0.2894736842105|0.2631578947368|0.2105263157894||||09/09/2022 12:00:00 AM|OK|2.10526200028482E-07
671|2026|2020-21|Low-Income|8|ERR_None|20|6|20|30.0%|0.3|0.3500000000000|0.3500000000000|0.2000000000000|0.1000000000000||||09/09/2022 12:00:00 AM|OK|5.55111512312578E-17
671|2025|2020-21|All Students|9|ERR_None|23|8|23|34.8%|0.347826|0.4782608695652|0.1304347826086|0.2173913043478|0.1304347826086||||09/09/2022 12:00:00 AM|OK|8.69563999694734E-08
671|2025|2020-21|Low-Income|9|ERR_None|12|6|12|50.0%|0.5|0.2500000000000|0.1666666666666|0.4166666666666|0.0833333333333||||09/09/2022 12:00:00 AM|OK|-9.99755833674953E-14
671|2025|2020-21|Migrant|9|Lt10orNo||||Suppressed: N<10|||||||||09/09/2022 12:00:00 AM|No L3L4|
671||2020-21|All Students|99|ERR_None|85|35|85|41.2%|0.411765|0.3294117647058|0.2470588235294|0.2235294117647|0.1882352941176||||09/09/2022 12:00:00 AM|OK|-2.94117699972674E-07
671||2020-21|Low-Income|99|ERR_None|44|15|44|34.1%|0.340909|0.3863636363636|0.2500000000000|0.2272727272727|0.1136363636363||||09/09/2022 12:00:00 AM|OK|9.09089999945323E-08
